number,construction,sentence,item,grammaticality
410,n_prel,It is not the case that the cats which I have studied will impact [MASK] legislation.,any,1
411,n_ppp,No cats in these places will impact [MASK] legislation.,any,1
412,n_ppp,None of the cats in these places will impact [MASK] legislation.,any,1
413,n_ppp,It is not the case that cats in these places will impact [MASK] legislation.,any,1
414,n_nrel,No cats which I have not studied will impact [MASK] legislation.,any,1
415,n_nrel,None of the cats which I have not have studied will impact [MASK] legislation.,any,1
416,n_nrel,It is not the case that the cats which I have not studied will impact [MASK] legislation.,any,1
417,n_npp,No cats in none of these places will impact [MASK] legislation.,any,1
418,n_npp,None of the cats in none of these places will impact [MASK] legislation.,any,1
419,n_npp,It is not the case that cats in none of these places will impact [MASK] legislation.,any,1
420,p_pn,The cats confuse [MASK] astronomers.,any,0
421,p_pn,Many of the cats confuse [MASK] astronomers.,any,0
422,p_pn,It is the case that the cats confuse [MASK] astronomers.,any,0
423,p_prel,The cats which I have studied confuse [MASK] astronomers.,any,0
424,p_prel,Many of the cats which I have studied confuse [MASK] astronomers.,any,0
425,p_prel,It is the case that cats which I have studied confuse [MASK] astronomers.,any,0
426,p_ppp,The cats in these places confuse [MASK] astronomers.,any,0
427,p_ppp,Many of the cats in these places confuse [MASK] astronomers.,any,0
428,p_ppp,It is the case that the cats in these places confuse [MASK] astronomers.,any,0
429,p_nrel,The cats which I have not studied confuse [MASK] astronomers.,any,1
430,p_nrel,Many of the cats which I have not studied confuse [MASK] astronomers.,any,1
431,p_nrel,It is the case that the cats which I have not studied confuse [MASK] astronomers.,any,1
432,p_npp,The cats in none of these places confuse [MASK] astronomers.,any,1
433,p_npp,Many of the cats in none of these places confuse [MASK] astronomers.,any,1
434,p_npp,It is the case that cats in none of these places confuse [MASK] astronomers.,any,1
435,n_pn,No cats confuse [MASK] astronomers.,any,1
436,n_pn,None of the cats confuse [MASK] astronomers.,any,1
437,n_pn,It is not the case that the cats confuse [MASK] astronomers.,any,1
438,n_prel,No cats which I have studied confuse [MASK] astronomers.,any,1
439,n_prel,None of the cats which I have studied confuse [MASK] astronomers.,any,1
440,n_prel,It is not the case that the cats which I have studied confuse [MASK] astronomers.,any,1
441,n_ppp,No cats in these places confuse [MASK] astronomers.,any,1
442,n_ppp,None of the cats in these places confuse [MASK] astronomers.,any,1
443,n_ppp,It is not the case that cats in these places confuse [MASK] astronomers.,any,1
444,n_nrel,No cats which I have not studied confuse [MASK] astronomers.,any,1
445,n_nrel,None of the cats which I have not have studied confuse [MASK] astronomers.,any,1
446,n_nrel,It is not the case that the cats which I have not studied confuse [MASK] astronomers.,any,1
447,n_npp,No cats in none of these places confuse [MASK] astronomers.,any,1
448,n_npp,None of the cats in none of these places confuse [MASK] astronomers.,any,1
449,n_npp,It is not the case that cats in none of these places confuse [MASK] astronomers.,any,1
450,p_pn,The cats inspired [MASK] revolutions.,any,0
451,p_pn,Many of the cats inspired [MASK] revolutions.,any,0
452,p_pn,It is the case that the cats inspired [MASK] revolutions.,any,0
453,p_prel,The cats which I have studied inspired [MASK] revolutions.,any,0
454,p_prel,Many of the cats which I have studied inspired [MASK] revolutions.,any,0
455,p_prel,It is the case that cats which I have studied inspired [MASK] revolutions.,any,0
456,p_ppp,The cats in these places inspired [MASK] revolutions.,any,0
457,p_ppp,Many of the cats in these places inspired [MASK] revolutions.,any,0
458,p_ppp,It is the case that the cats in these places inspired [MASK] revolutions.,any,0
459,p_nrel,The cats which I have not studied inspired [MASK] revolutions.,any,1
460,p_nrel,Many of the cats which I have not studied inspired [MASK] revolutions.,any,1
461,p_nrel,It is the case that the cats which I have not studied inspired [MASK] revolutions.,any,1
462,p_npp,The cats in none of these places inspired [MASK] revolutions.,any,1
463,p_npp,Many of the cats in none of these places inspired [MASK] revolutions.,any,1
464,p_npp,It is the case that cats in none of these places inspired [MASK] revolutions.,any,1
465,n_pn,No cats inspired [MASK] revolutions.,any,1
466,n_pn,None of the cats inspired [MASK] revolutions.,any,1
467,n_pn,It is not the case that the cats inspired [MASK] revolutions.,any,1
468,n_prel,No cats which I have studied inspired [MASK] revolutions.,any,1
469,n_prel,None of the cats which I have studied inspired [MASK] revolutions.,any,1
470,n_prel,It is not the case that the cats which I have studied inspired [MASK] revolutions.,any,1
471,n_ppp,No cats in these places inspired [MASK] revolutions.,any,1
472,n_ppp,None of the cats in these places inspired [MASK] revolutions.,any,1
473,n_ppp,It is not the case that cats in these places inspired [MASK] revolutions.,any,1
474,n_nrel,No cats which I have not studied inspired [MASK] revolutions.,any,1
475,n_nrel,None of the cats which I have not have studied inspired [MASK] revolutions.,any,1
476,n_nrel,It is not the case that the cats which I have not studied inspired [MASK] revolutions.,any,1
477,n_npp,No cats in none of these places inspired [MASK] revolutions.,any,1
478,n_npp,None of the cats in none of these places inspired [MASK] revolutions.,any,1
479,n_npp,It is not the case that cats in none of these places inspired [MASK] revolutions.,any,1
480,p_pn,The cats will change [MASK] lives.,any,0
481,p_pn,Many of the cats will change [MASK] lives.,any,0
482,p_pn,It is the case that the cats will change [MASK] lives.,any,0
483,p_prel,The cats which I have studied will change [MASK] lives.,any,0
484,p_prel,Many of the cats which I have studied will change [MASK] lives.,any,0
485,p_prel,It is the case that cats which I have studied will change [MASK] lives.,any,0
486,p_ppp,The cats in these places will change [MASK] lives.,any,0
487,p_ppp,Many of the cats in these places will change [MASK] lives.,any,0
488,p_ppp,It is the case that the cats in these places will change [MASK] lives.,any,0
489,p_nrel,The cats which I have not studied will change [MASK] lives.,any,1
490,p_nrel,Many of the cats which I have not studied will change [MASK] lives.,any,1
491,p_nrel,It is the case that the cats which I have not studied will change [MASK] lives.,any,1
492,p_npp,The cats in none of these places will change [MASK] lives.,any,1
493,p_npp,Many of the cats in none of these places will change [MASK] lives.,any,1
494,p_npp,It is the case that cats in none of these places will change [MASK] lives.,any,1
495,n_pn,No cats will change [MASK] lives.,any,1
496,n_pn,None of the cats will change [MASK] lives.,any,1
497,n_pn,It is not the case that the cats will change [MASK] lives.,any,1
498,n_prel,No cats which I have studied will change [MASK] lives.,any,1
499,n_prel,None of the cats which I have studied will change [MASK] lives.,any,1
500,n_prel,It is not the case that the cats which I have studied will change [MASK] lives.,any,1
501,n_ppp,No cats in these places will change [MASK] lives.,any,1
502,n_ppp,None of the cats in these places will change [MASK] lives.,any,1
503,n_ppp,It is not the case that cats in these places will change [MASK] lives.,any,1
504,n_nrel,No cats which I have not studied will change [MASK] lives.,any,1
505,n_nrel,None of the cats which I have not have studied will change [MASK] lives.,any,1
506,n_nrel,It is not the case that the cats which I have not studied will change [MASK] lives.,any,1
507,n_npp,No cats in none of these places will change [MASK] lives.,any,1
508,n_npp,None of the cats in none of these places will change [MASK] lives.,any,1
509,n_npp,It is not the case that cats in none of these places will change [MASK] lives.,any,1
510,p_pn,The cats impress [MASK] ambassadors.,any,0
511,p_pn,Many of the cats impress [MASK] ambassadors.,any,0
512,p_pn,It is the case that the cats impress [MASK] ambassadors.,any,0
513,p_prel,The cats which I have studied impress [MASK] ambassadors.,any,0
514,p_prel,Many of the cats which I have studied impress [MASK] ambassadors.,any,0
515,p_prel,It is the case that cats which I have studied impress [MASK] ambassadors.,any,0
516,p_ppp,The cats in these places impress [MASK] ambassadors.,any,0
517,p_ppp,Many of the cats in these places impress [MASK] ambassadors.,any,0
518,p_ppp,It is the case that the cats in these places impress [MASK] ambassadors.,any,0
519,p_nrel,The cats which I have not studied impress [MASK] ambassadors.,any,1
520,p_nrel,Many of the cats which I have not studied impress [MASK] ambassadors.,any,1
521,p_nrel,It is the case that the cats which I have not studied impress [MASK] ambassadors.,any,1
522,p_npp,The cats in none of these places impress [MASK] ambassadors.,any,1
523,p_npp,Many of the cats in none of these places impress [MASK] ambassadors.,any,1
524,p_npp,It is the case that cats in none of these places impress [MASK] ambassadors.,any,1
525,n_pn,No cats impress [MASK] ambassadors.,any,1
526,n_pn,None of the cats impress [MASK] ambassadors.,any,1
527,n_pn,It is not the case that the cats impress [MASK] ambassadors.,any,1
528,n_prel,No cats which I have studied impress [MASK] ambassadors.,any,1
529,n_prel,None of the cats which I have studied impress [MASK] ambassadors.,any,1
530,n_prel,It is not the case that the cats which I have studied impress [MASK] ambassadors.,any,1
531,n_ppp,No cats in these places impress [MASK] ambassadors.,any,1
532,n_ppp,None of the cats in these places impress [MASK] ambassadors.,any,1
533,n_ppp,It is not the case that cats in these places impress [MASK] ambassadors.,any,1
534,n_nrel,No cats which I have not studied impress [MASK] ambassadors.,any,1
535,n_nrel,None of the cats which I have not have studied impress [MASK] ambassadors.,any,1
536,n_nrel,It is not the case that the cats which I have not studied impress [MASK] ambassadors.,any,1
537,n_npp,No cats in none of these places impress [MASK] ambassadors.,any,1
538,n_npp,None of the cats in none of these places impress [MASK] ambassadors.,any,1
539,n_npp,It is not the case that cats in none of these places impress [MASK] ambassadors.,any,1
540,p_pn,The queens have done [MASK] harm.,any,0
541,p_pn,Many of the queens have done [MASK] harm.,any,0
542,p_pn,It is the case that the queens have done [MASK] harm.,any,0
543,p_prel,The queens which I have studied have done [MASK] harm.,any,0
544,p_prel,Many of the queens which I have studied have done [MASK] harm.,any,0
545,p_prel,It is the case that queens which I have studied have done [MASK] harm.,any,0
546,p_ppp,The queens in these places have done [MASK] harm.,any,0
547,p_ppp,Many of the queens in these places have done [MASK] harm.,any,0
548,p_ppp,It is the case that the queens in these places have done [MASK] harm.,any,0
549,p_nrel,The queens which I have not studied have done [MASK] harm.,any,1
550,p_nrel,Many of the queens which I have not studied have done [MASK] harm.,any,1
551,p_nrel,It is the case that the queens which I have not studied have done [MASK] harm.,any,1
552,p_npp,The queens in none of these places have done [MASK] harm.,any,1
553,p_npp,Many of the queens in none of these places have done [MASK] harm.,any,1
554,p_npp,It is the case that queens in none of these places have done [MASK] harm.,any,1
555,n_pn,No queens have done [MASK] harm.,any,1
556,n_pn,None of the queens have done [MASK] harm.,any,1
557,n_pn,It is not the case that the queens have done [MASK] harm.,any,1
558,n_prel,No queens which I have studied have done [MASK] harm.,any,1
559,n_prel,None of the queens which I have studied have done [MASK] harm.,any,1
560,n_prel,It is not the case that the queens which I have studied have done [MASK] harm.,any,1
561,n_ppp,No queens in these places have done [MASK] harm.,any,1
562,n_ppp,None of the queens in these places have done [MASK] harm.,any,1
563,n_ppp,It is not the case that queens in these places have done [MASK] harm.,any,1
564,n_nrel,No queens which I have not studied have done [MASK] harm.,any,1
565,n_nrel,None of the queens which I have not have studied have done [MASK] harm.,any,1
566,n_nrel,It is not the case that the queens which I have not studied have done [MASK] harm.,any,1
567,n_npp,No queens in none of these places have done [MASK] harm.,any,1
568,n_npp,None of the queens in none of these places have done [MASK] harm.,any,1
569,n_npp,It is not the case that queens in none of these places have done [MASK] harm.,any,1
570,p_pn,The queens will impact [MASK] legislation.,any,0
571,p_pn,Many of the queens will impact [MASK] legislation.,any,0
572,p_pn,It is the case that the queens will impact [MASK] legislation.,any,0
573,p_prel,The queens which I have studied will impact [MASK] legislation.,any,0
574,p_prel,Many of the queens which I have studied will impact [MASK] legislation.,any,0
575,p_prel,It is the case that queens which I have studied will impact [MASK] legislation.,any,0
576,p_ppp,The queens in these places will impact [MASK] legislation.,any,0
577,p_ppp,Many of the queens in these places will impact [MASK] legislation.,any,0
578,p_ppp,It is the case that the queens in these places will impact [MASK] legislation.,any,0
579,p_nrel,The queens which I have not studied will impact [MASK] legislation.,any,1
580,p_nrel,Many of the queens which I have not studied will impact [MASK] legislation.,any,1
581,p_nrel,It is the case that the queens which I have not studied will impact [MASK] legislation.,any,1
582,p_npp,The queens in none of these places will impact [MASK] legislation.,any,1
583,p_npp,Many of the queens in none of these places will impact [MASK] legislation.,any,1
584,p_npp,It is the case that queens in none of these places will impact [MASK] legislation.,any,1
585,n_pn,No queens will impact [MASK] legislation.,any,1
586,n_pn,None of the queens will impact [MASK] legislation.,any,1
587,n_pn,It is not the case that the queens will impact [MASK] legislation.,any,1
588,n_prel,No queens which I have studied will impact [MASK] legislation.,any,1
589,n_prel,None of the queens which I have studied will impact [MASK] legislation.,any,1
590,n_prel,It is not the case that the queens which I have studied will impact [MASK] legislation.,any,1
591,n_ppp,No queens in these places will impact [MASK] legislation.,any,1
592,n_ppp,None of the queens in these places will impact [MASK] legislation.,any,1
593,n_ppp,It is not the case that queens in these places will impact [MASK] legislation.,any,1
594,n_nrel,No queens which I have not studied will impact [MASK] legislation.,any,1
595,n_nrel,None of the queens which I have not have studied will impact [MASK] legislation.,any,1
596,n_nrel,It is not the case that the queens which I have not studied will impact [MASK] legislation.,any,1
597,n_npp,No queens in none of these places will impact [MASK] legislation.,any,1
598,n_npp,None of the queens in none of these places will impact [MASK] legislation.,any,1
599,n_npp,It is not the case that queens in none of these places will impact [MASK] legislation.,any,1
600,p_pn,The queens confuse [MASK] astronomers.,any,0
601,p_pn,Many of the queens confuse [MASK] astronomers.,any,0
602,p_pn,It is the case that the queens confuse [MASK] astronomers.,any,0
603,p_prel,The queens which I have studied confuse [MASK] astronomers.,any,0
604,p_prel,Many of the queens which I have studied confuse [MASK] astronomers.,any,0
605,p_prel,It is the case that queens which I have studied confuse [MASK] astronomers.,any,0
606,p_ppp,The queens in these places confuse [MASK] astronomers.,any,0
607,p_ppp,Many of the queens in these places confuse [MASK] astronomers.,any,0
608,p_ppp,It is the case that the queens in these places confuse [MASK] astronomers.,any,0
609,p_nrel,The queens which I have not studied confuse [MASK] astronomers.,any,1
610,p_nrel,Many of the queens which I have not studied confuse [MASK] astronomers.,any,1
611,p_nrel,It is the case that the queens which I have not studied confuse [MASK] astronomers.,any,1
612,p_npp,The queens in none of these places confuse [MASK] astronomers.,any,1
613,p_npp,Many of the queens in none of these places confuse [MASK] astronomers.,any,1
614,p_npp,It is the case that queens in none of these places confuse [MASK] astronomers.,any,1
615,n_pn,No queens confuse [MASK] astronomers.,any,1
616,n_pn,None of the queens confuse [MASK] astronomers.,any,1
617,n_pn,It is not the case that the queens confuse [MASK] astronomers.,any,1
618,n_prel,No queens which I have studied confuse [MASK] astronomers.,any,1
619,n_prel,None of the queens which I have studied confuse [MASK] astronomers.,any,1
620,n_prel,It is not the case that the queens which I have studied confuse [MASK] astronomers.,any,1
621,n_ppp,No queens in these places confuse [MASK] astronomers.,any,1
622,n_ppp,None of the queens in these places confuse [MASK] astronomers.,any,1
623,n_ppp,It is not the case that queens in these places confuse [MASK] astronomers.,any,1
624,n_nrel,No queens which I have not studied confuse [MASK] astronomers.,any,1
625,n_nrel,None of the queens which I have not have studied confuse [MASK] astronomers.,any,1
626,n_nrel,It is not the case that the queens which I have not studied confuse [MASK] astronomers.,any,1
627,n_npp,No queens in none of these places confuse [MASK] astronomers.,any,1
628,n_npp,None of the queens in none of these places confuse [MASK] astronomers.,any,1
629,n_npp,It is not the case that queens in none of these places confuse [MASK] astronomers.,any,1
630,p_pn,The queens inspired [MASK] revolutions.,any,0
631,p_pn,Many of the queens inspired [MASK] revolutions.,any,0
632,p_pn,It is the case that the queens inspired [MASK] revolutions.,any,0
633,p_prel,The queens which I have studied inspired [MASK] revolutions.,any,0
634,p_prel,Many of the queens which I have studied inspired [MASK] revolutions.,any,0
635,p_prel,It is the case that queens which I have studied inspired [MASK] revolutions.,any,0
636,p_ppp,The queens in these places inspired [MASK] revolutions.,any,0
637,p_ppp,Many of the queens in these places inspired [MASK] revolutions.,any,0
638,p_ppp,It is the case that the queens in these places inspired [MASK] revolutions.,any,0
639,p_nrel,The queens which I have not studied inspired [MASK] revolutions.,any,1
640,p_nrel,Many of the queens which I have not studied inspired [MASK] revolutions.,any,1
641,p_nrel,It is the case that the queens which I have not studied inspired [MASK] revolutions.,any,1
642,p_npp,The queens in none of these places inspired [MASK] revolutions.,any,1
643,p_npp,Many of the queens in none of these places inspired [MASK] revolutions.,any,1
644,p_npp,It is the case that queens in none of these places inspired [MASK] revolutions.,any,1
645,n_pn,No queens inspired [MASK] revolutions.,any,1
646,n_pn,None of the queens inspired [MASK] revolutions.,any,1
647,n_pn,It is not the case that the queens inspired [MASK] revolutions.,any,1
648,n_prel,No queens which I have studied inspired [MASK] revolutions.,any,1
649,n_prel,None of the queens which I have studied inspired [MASK] revolutions.,any,1
650,n_prel,It is not the case that the queens which I have studied inspired [MASK] revolutions.,any,1
651,n_ppp,No queens in these places inspired [MASK] revolutions.,any,1
652,n_ppp,None of the queens in these places inspired [MASK] revolutions.,any,1
653,n_ppp,It is not the case that queens in these places inspired [MASK] revolutions.,any,1
654,n_nrel,No queens which I have not studied inspired [MASK] revolutions.,any,1
655,n_nrel,None of the queens which I have not have studied inspired [MASK] revolutions.,any,1
656,n_nrel,It is not the case that the queens which I have not studied inspired [MASK] revolutions.,any,1
657,n_npp,No queens in none of these places inspired [MASK] revolutions.,any,1
658,n_npp,None of the queens in none of these places inspired [MASK] revolutions.,any,1
659,n_npp,It is not the case that queens in none of these places inspired [MASK] revolutions.,any,1
660,p_pn,The queens will change [MASK] lives.,any,0
661,p_pn,Many of the queens will change [MASK] lives.,any,0
662,p_pn,It is the case that the queens will change [MASK] lives.,any,0
663,p_prel,The queens which I have studied will change [MASK] lives.,any,0
664,p_prel,Many of the queens which I have studied will change [MASK] lives.,any,0
665,p_prel,It is the case that queens which I have studied will change [MASK] lives.,any,0
666,p_ppp,The queens in these places will change [MASK] lives.,any,0
667,p_ppp,Many of the queens in these places will change [MASK] lives.,any,0
668,p_ppp,It is the case that the queens in these places will change [MASK] lives.,any,0
669,p_nrel,The queens which I have not studied will change [MASK] lives.,any,1
670,p_nrel,Many of the queens which I have not studied will change [MASK] lives.,any,1
671,p_nrel,It is the case that the queens which I have not studied will change [MASK] lives.,any,1
672,p_npp,The queens in none of these places will change [MASK] lives.,any,1
673,p_npp,Many of the queens in none of these places will change [MASK] lives.,any,1
674,p_npp,It is the case that queens in none of these places will change [MASK] lives.,any,1
675,n_pn,No queens will change [MASK] lives.,any,1
676,n_pn,None of the queens will change [MASK] lives.,any,1
677,n_pn,It is not the case that the queens will change [MASK] lives.,any,1
678,n_prel,No queens which I have studied will change [MASK] lives.,any,1
679,n_prel,None of the queens which I have studied will change [MASK] lives.,any,1
680,n_prel,It is not the case that the queens which I have studied will change [MASK] lives.,any,1
681,n_ppp,No queens in these places will change [MASK] lives.,any,1
682,n_ppp,None of the queens in these places will change [MASK] lives.,any,1
683,n_ppp,It is not the case that queens in these places will change [MASK] lives.,any,1
684,n_nrel,No queens which I have not studied will change [MASK] lives.,any,1
685,n_nrel,None of the queens which I have not have studied will change [MASK] lives.,any,1
686,n_nrel,It is not the case that the queens which I have not studied will change [MASK] lives.,any,1
687,n_npp,No queens in none of these places will change [MASK] lives.,any,1
688,n_npp,None of the queens in none of these places will change [MASK] lives.,any,1
689,n_npp,It is not the case that queens in none of these places will change [MASK] lives.,any,1
690,p_pn,The queens impress [MASK] ambassadors.,any,0
691,p_pn,Many of the queens impress [MASK] ambassadors.,any,0
692,p_pn,It is the case that the queens impress [MASK] ambassadors.,any,0
693,p_prel,The queens which I have studied impress [MASK] ambassadors.,any,0
694,p_prel,Many of the queens which I have studied impress [MASK] ambassadors.,any,0
695,p_prel,It is the case that queens which I have studied impress [MASK] ambassadors.,any,0
696,p_ppp,The queens in these places impress [MASK] ambassadors.,any,0
697,p_ppp,Many of the queens in these places impress [MASK] ambassadors.,any,0
698,p_ppp,It is the case that the queens in these places impress [MASK] ambassadors.,any,0
699,p_nrel,The queens which I have not studied impress [MASK] ambassadors.,any,1
700,p_nrel,Many of the queens which I have not studied impress [MASK] ambassadors.,any,1
701,p_nrel,It is the case that the queens which I have not studied impress [MASK] ambassadors.,any,1
702,p_npp,The queens in none of these places impress [MASK] ambassadors.,any,1
703,p_npp,Many of the queens in none of these places impress [MASK] ambassadors.,any,1
704,p_npp,It is the case that queens in none of these places impress [MASK] ambassadors.,any,1
705,n_pn,No queens impress [MASK] ambassadors.,any,1
706,n_pn,None of the queens impress [MASK] ambassadors.,any,1
707,n_pn,It is not the case that the queens impress [MASK] ambassadors.,any,1
708,n_prel,No queens which I have studied impress [MASK] ambassadors.,any,1
709,n_prel,None of the queens which I have studied impress [MASK] ambassadors.,any,1
710,n_prel,It is not the case that the queens which I have studied impress [MASK] ambassadors.,any,1
711,n_ppp,No queens in these places impress [MASK] ambassadors.,any,1
712,n_ppp,None of the queens in these places impress [MASK] ambassadors.,any,1
713,n_ppp,It is not the case that queens in these places impress [MASK] ambassadors.,any,1
714,n_nrel,No queens which I have not studied impress [MASK] ambassadors.,any,1
715,n_nrel,None of the queens which I have not have studied impress [MASK] ambassadors.,any,1
716,n_nrel,It is not the case that the queens which I have not studied impress [MASK] ambassadors.,any,1
717,n_npp,No queens in none of these places impress [MASK] ambassadors.,any,1
718,n_npp,None of the queens in none of these places impress [MASK] ambassadors.,any,1
719,n_npp,It is not the case that queens in none of these places impress [MASK] ambassadors.,any,1
720,p_pn,The books have done [MASK] harm.,any,0
721,p_pn,Many of the books have done [MASK] harm.,any,0
722,p_pn,It is the case that the books have done [MASK] harm.,any,0
723,p_prel,The books which I have studied have done [MASK] harm.,any,0
724,p_prel,Many of the books which I have studied have done [MASK] harm.,any,0
725,p_prel,It is the case that books which I have studied have done [MASK] harm.,any,0
726,p_ppp,The books in these places have done [MASK] harm.,any,0
727,p_ppp,Many of the books in these places have done [MASK] harm.,any,0
728,p_ppp,It is the case that the books in these places have done [MASK] harm.,any,0
729,p_nrel,The books which I have not studied have done [MASK] harm.,any,1
730,p_nrel,Many of the books which I have not studied have done [MASK] harm.,any,1
731,p_nrel,It is the case that the books which I have not studied have done [MASK] harm.,any,1
732,p_npp,The books in none of these places have done [MASK] harm.,any,1
733,p_npp,Many of the books in none of these places have done [MASK] harm.,any,1
734,p_npp,It is the case that books in none of these places have done [MASK] harm.,any,1
735,n_pn,No books have done [MASK] harm.,any,1
736,n_pn,None of the books have done [MASK] harm.,any,1
737,n_pn,It is not the case that the books have done [MASK] harm.,any,1
738,n_prel,No books which I have studied have done [MASK] harm.,any,1
739,n_prel,None of the books which I have studied have done [MASK] harm.,any,1
740,n_prel,It is not the case that the books which I have studied have done [MASK] harm.,any,1
741,n_ppp,No books in these places have done [MASK] harm.,any,1
742,n_ppp,None of the books in these places have done [MASK] harm.,any,1
743,n_ppp,It is not the case that books in these places have done [MASK] harm.,any,1
744,n_nrel,No books which I have not studied have done [MASK] harm.,any,1
745,n_nrel,None of the books which I have not have studied have done [MASK] harm.,any,1
746,n_nrel,It is not the case that the books which I have not studied have done [MASK] harm.,any,1
747,n_npp,No books in none of these places have done [MASK] harm.,any,1
748,n_npp,None of the books in none of these places have done [MASK] harm.,any,1
749,n_npp,It is not the case that books in none of these places have done [MASK] harm.,any,1
750,p_pn,The books will impact [MASK] legislation.,any,0
751,p_pn,Many of the books will impact [MASK] legislation.,any,0
752,p_pn,It is the case that the books will impact [MASK] legislation.,any,0
753,p_prel,The books which I have studied will impact [MASK] legislation.,any,0
754,p_prel,Many of the books which I have studied will impact [MASK] legislation.,any,0
755,p_prel,It is the case that books which I have studied will impact [MASK] legislation.,any,0
756,p_ppp,The books in these places will impact [MASK] legislation.,any,0
757,p_ppp,Many of the books in these places will impact [MASK] legislation.,any,0
758,p_ppp,It is the case that the books in these places will impact [MASK] legislation.,any,0
759,p_nrel,The books which I have not studied will impact [MASK] legislation.,any,1
760,p_nrel,Many of the books which I have not studied will impact [MASK] legislation.,any,1
761,p_nrel,It is the case that the books which I have not studied will impact [MASK] legislation.,any,1
762,p_npp,The books in none of these places will impact [MASK] legislation.,any,1
763,p_npp,Many of the books in none of these places will impact [MASK] legislation.,any,1
764,p_npp,It is the case that books in none of these places will impact [MASK] legislation.,any,1
765,n_pn,No books will impact [MASK] legislation.,any,1
766,n_pn,None of the books will impact [MASK] legislation.,any,1
767,n_pn,It is not the case that the books will impact [MASK] legislation.,any,1
768,n_prel,No books which I have studied will impact [MASK] legislation.,any,1
769,n_prel,None of the books which I have studied will impact [MASK] legislation.,any,1
770,n_prel,It is not the case that the books which I have studied will impact [MASK] legislation.,any,1
771,n_ppp,No books in these places will impact [MASK] legislation.,any,1
772,n_ppp,None of the books in these places will impact [MASK] legislation.,any,1
773,n_ppp,It is not the case that books in these places will impact [MASK] legislation.,any,1
774,n_nrel,No books which I have not studied will impact [MASK] legislation.,any,1
775,n_nrel,None of the books which I have not have studied will impact [MASK] legislation.,any,1
776,n_nrel,It is not the case that the books which I have not studied will impact [MASK] legislation.,any,1
777,n_npp,No books in none of these places will impact [MASK] legislation.,any,1
778,n_npp,None of the books in none of these places will impact [MASK] legislation.,any,1
779,n_npp,It is not the case that books in none of these places will impact [MASK] legislation.,any,1
780,p_pn,The books confuse [MASK] astronomers.,any,0
781,p_pn,Many of the books confuse [MASK] astronomers.,any,0
782,p_pn,It is the case that the books confuse [MASK] astronomers.,any,0
783,p_prel,The books which I have studied confuse [MASK] astronomers.,any,0
784,p_prel,Many of the books which I have studied confuse [MASK] astronomers.,any,0
785,p_prel,It is the case that books which I have studied confuse [MASK] astronomers.,any,0
786,p_ppp,The books in these places confuse [MASK] astronomers.,any,0
787,p_ppp,Many of the books in these places confuse [MASK] astronomers.,any,0
788,p_ppp,It is the case that the books in these places confuse [MASK] astronomers.,any,0
789,p_nrel,The books which I have not studied confuse [MASK] astronomers.,any,1
790,p_nrel,Many of the books which I have not studied confuse [MASK] astronomers.,any,1
791,p_nrel,It is the case that the books which I have not studied confuse [MASK] astronomers.,any,1
792,p_npp,The books in none of these places confuse [MASK] astronomers.,any,1
793,p_npp,Many of the books in none of these places confuse [MASK] astronomers.,any,1
794,p_npp,It is the case that books in none of these places confuse [MASK] astronomers.,any,1
795,n_pn,No books confuse [MASK] astronomers.,any,1
796,n_pn,None of the books confuse [MASK] astronomers.,any,1
797,n_pn,It is not the case that the books confuse [MASK] astronomers.,any,1
798,n_prel,No books which I have studied confuse [MASK] astronomers.,any,1
799,n_prel,None of the books which I have studied confuse [MASK] astronomers.,any,1
800,n_prel,It is not the case that the books which I have studied confuse [MASK] astronomers.,any,1
801,n_ppp,No books in these places confuse [MASK] astronomers.,any,1
802,n_ppp,None of the books in these places confuse [MASK] astronomers.,any,1
803,n_ppp,It is not the case that books in these places confuse [MASK] astronomers.,any,1
804,n_nrel,No books which I have not studied confuse [MASK] astronomers.,any,1
805,n_nrel,None of the books which I have not have studied confuse [MASK] astronomers.,any,1
806,n_nrel,It is not the case that the books which I have not studied confuse [MASK] astronomers.,any,1
807,n_npp,No books in none of these places confuse [MASK] astronomers.,any,1
808,n_npp,None of the books in none of these places confuse [MASK] astronomers.,any,1
809,n_npp,It is not the case that books in none of these places confuse [MASK] astronomers.,any,1
810,p_pn,The books inspired [MASK] revolutions.,any,0
811,p_pn,Many of the books inspired [MASK] revolutions.,any,0
812,p_pn,It is the case that the books inspired [MASK] revolutions.,any,0
813,p_prel,The books which I have studied inspired [MASK] revolutions.,any,0
814,p_prel,Many of the books which I have studied inspired [MASK] revolutions.,any,0
815,p_prel,It is the case that books which I have studied inspired [MASK] revolutions.,any,0
816,p_ppp,The books in these places inspired [MASK] revolutions.,any,0
817,p_ppp,Many of the books in these places inspired [MASK] revolutions.,any,0
818,p_ppp,It is the case that the books in these places inspired [MASK] revolutions.,any,0
819,p_nrel,The books which I have not studied inspired [MASK] revolutions.,any,1
820,p_nrel,Many of the books which I have not studied inspired [MASK] revolutions.,any,1
821,p_nrel,It is the case that the books which I have not studied inspired [MASK] revolutions.,any,1
822,p_npp,The books in none of these places inspired [MASK] revolutions.,any,1
823,p_npp,Many of the books in none of these places inspired [MASK] revolutions.,any,1
824,p_npp,It is the case that books in none of these places inspired [MASK] revolutions.,any,1
825,n_pn,No books inspired [MASK] revolutions.,any,1
826,n_pn,None of the books inspired [MASK] revolutions.,any,1
